english,czech
city centre  ,centrum města 
classical  ,klasický 
clean  ,"čistit, uklízet "
clean  ,čistý 
climb  ,stoupat 
close  ,zavřít 
closer  ,bližší 
clothes  ,šaty 
cloudy  ,zamračený (obloha) 
club  ,klub 
coat  ,plášť 
coffee  ,káva 
cola  ,kola (nápoj)
cold  ,chladný 
collar  ,límec 
collection  ,sbírka 
colour TV  ,barevný televizor 
colourful  ,pestrobarevný 
come  ,"přijít, přijet "
"Come round to my place.
",Přijď(te) mě navštívit.
comedy  ,komedie 
comedy programme  ,zábavný program 
comfortable  ,pohodlný 
compare  ,porovnávat 
competition  ,soutěž 
completely  ,úplně 
computer  ,počítač 
computer game  ,počítačová hra 
concert  ,koncert 
conditions  ,podmínky 
confused  ,zmatený 
contact  ,kontaktovat 
cook  ,vařit 
cooker  ,vařič 
corner  ,roh 
correct  ,správný 
costume  ,kostým 
count  ,počítat (odpočítávat)
countryside  ,venkov 
cousin  ,"bratranec, sestřenice "
crew  ,posádka 
cricket  ,kriket 
cry  ,plakat 
cup  ,šálek 
curly  ,kudrnatý 
cycle  ,jet na kole 
cycling  ,jízda na kole 
dad  ,táta 
dance  ,tančit 
dance  ,tanec 
dancing  ,tancování 
danger  ,nebezpečí 
dangerous  ,nebezpečný 
dark  ,"temný, setmělý "
daughter  ,dcera 
day  ,den 
dead  ,mrtvý 
December  ,prosinec 
delicious  ,lahodný 
desk  ,pracovní stůl 
dessert  ,moučník 
destroy  ,zničit 
detective novel  ,detektivka 
die  ,"zahynout, zemřít"
different  ,odlišný 
difficult  ,obtížný 
dining room  ,jídelna 
dinner  ,večeře 
dinosaur  ,dinosaurus 
directions  ,pokyny 
dirty  ,špinavý 
disappear  ,zmizet 
disappearance  ,zmizení 
disgusting  ,odporný 
dishwasher  ,myčka nádobí 
DJ  ,dýdžej 
DNA  ,DNA 
do  ,dělat 
Do you think so?,Myslíš? 
doctor  ,"lékař, doktor "
documentary  ,dokument 
dog  ,pes 
door  ,dveře 
down  ,"dolů, dole "
draw  ,kreslit 
dream  ,sen 
dress  ,šaty 
drink,pít
drink  ,nápoj 
drive  ,řídit auto 
during  ,během 
DVD player  ,přehrávač DVD 
"11th (eleventh)
",jedenáctý 
"8th (eighth)
",osmý 
ear  ,ucho 
early  ,"časně, brzy "
earn  ,vydělat (peníze) 
easier  ,snadnější 
easy  ,snadný 
eat  ,jíst 
egg  ,vejce 
electrical equipment  ,elektrický přístroj 
electricity  ,elektřina 
email  ,e-mail 
empty  ,prázdný 
end  ,skončit 
England  ,Anglie 
English  ,anglický 
enjoy  ,užít si (něčeho) 
escape  ,uniknout 
Europe  ,Evropa 
evening  ,večer 
"every day / week / month / year
",každý den / týden / měsíc / rok 
everyone,každý 
exam  ,zkouška (znalostí) 
excellent  ,vynikající 
excited  ,vzrušený
exciting  ,vzrušující 
excuse (me)  ,omluvit (se) 
exercise  ,"cvičení, fyzická námaha "
exotic  ,exotický 
expensive  ,"drahý, nákladný "
eye  ,oko 
1st (first),první 
"4th (fourth)
",čtvrtý 
"5th (fifth)
",pátý 
face  ,obličej 
fact  ,"skutečnost, fakt "
fair  ,"bledý, světlý"
fall  ,"padat, spadnout "
famous  ,slavný 
fancy  ,vyhlášený 
fantastic  ,fantastický 
farm  ,farma 
fashionable  ,moderní 
fast  ,rychlý 
fast food place  ,"občerstvení, bistro, bufet "
father  ,otec 
favourite  ,oblíbený 
February  ,únor 
feel  ,cítit se 
festival  ,festival 
fight  ,bojovat 
film  ,film (pořad) 
film star  ,filmová hvězda 
final  ,poslední 
find  ,najít 
find out  ,zjistit 
fine  ,"dobrý, zdravý, spokojený "
finger  ,prst 
finish  ,"skončit, dokončit "
first name  ,křestní jméno 
fish  ,ryba 
flag  ,vlajka 
flat  ,byt 
flight  ,let 
float  ,alegorický vůz 
food  ,"jídlo, strava "
foot  ,noha (chodidlo) 
football  ,kopaná 
football team  ,fotbalové mužstvo 
footballer  ,fotbalista 
forest  ,les 
forget  ,zapomenout 
free  ,mající čas  
free  ,svobodný 
freer  ,"svobodnější, volnější "
French  ,francouzský 
fresh  ,čerstvý 
Friday  ,pátek 
fridge  ,lednička 
friend  ,"kamarád, přítel "
from  ,od 
front  ,přední strana 
fruit  ,ovoce 
fun  ,zábavný 
funny  ,legrační 
gamble  ,hrát o peníze 
game show  ,soutěžní pořad 
garden  ,zahrada 
Germany  ,Německo 
get  ,"dostat, sehnat "
get up  ,vstávat (po probuzení) 
ghost  ,duch 
girl  ,dívka 
girlfriend  ,"dívka, se kterou kluk chodí "
give  ,dát 
glass  ,sklo 
glasses  ,brýle 
go  ,"jít, jet "
go away  ,"odjet, odejít "
go for a walk  ,jít na procházku 
go shopping  ,nakupovat 
go swimming  ,plavat 
go to bed,jít spát 
go to school,jít do školy 
go to the cinema,jít do kina 
go to work,jít do práce 
golf  ,golf 
golfer  ,golfista 
good  ,dobrý 
good-looking  ,atraktivní 
Got a minute?,Máš chvilku? 
government  ,vláda 
grandfather  ,dědeček 
grandmother  ,babička 
grandparent  ,prarodiče 
grape  ,hroznové víno 
grass  ,tráva 
grasshopper  ,luční kobylka 
great  ,výborný 
green  ,zelený 
grey  ,šedý 
grocery  ,obchod s potravinami
group  ,skupina 
Guess what?,Hádej co.
guide  ,průvodce 
guinea-pig  ,morče 
guitar  ,kytara 
gun  ,střelná zbraň 
gymnastics  ,gymnastika 
hair  ,vlasy 
hairstyle  ,účes 
hall  ,"předsíň, hala "
Halloween  ,večer před svátkem Všech svatých 
hamburger  ,hamburger 
hamster  ,křeček 
hand  ,ruka 
"Hang on (a minute).
",počkat (chvilku) 
happen  ,stát se 
happier  ,šťastnější 
happy  ,šťastný 
hard  ,tvrdý 
hard  ,"těžký, problémový  "
hard  ,obtížný   
hardly ever,"velmi zřídka, vzácně "
hat  ,klobouk 
hate  ,nenávidět 
have  ,mít 
have a bath/shower,dát si koupel / sprchu 
have a coffee,dát si kávu 
have a fight  ,rvát se 
have a good/great time  ,mít se dobře 
have an ice cream,jíst zmrzlinu 
"have breakfast / lunch / dinner
",snídat / obědvat / večeřet 
have got  ,mít 
hear  ,slyšet 
heart  ,srdce 
hero  ,hrdina 
heroine  ,hrdinka 
high street  ,hlavní třída města 
history  ,historie 
hobby  ,"hobby, záliba "
hockey  ,hokej 
hole  ,díra 
holiday  ,prázdniny 
home  ,domov 
homework  ,domácí úkol 
honey  ,med 
hop  ,poskakovat 
hope  ,doufat 
horse  ,kůň 
hospital  ,nemocnice 
hot  ,horký 
hotel  ,hotel 
hotter  ,teplejší
hour  ,hodina
house  ,dům 
How (many),"jak, kolik"
How (old),jak 
huge  ,obrovský 
hungry  ,hladový 
I  know.,Já vím. 
I can help you.,Můžu ti pomoct. 
I don't understand.,Nerozumím. 
I have no idea.,Nevím. 
I miss (San Francisco).,Stýská se mi (po SF)
I want to go.,Chci jít. 
ice cream  ,zmrzlina 
iceberg  ,ledovec 
idea  ,nápad 
ill  ,nemocný 
I'm on my way.,Jsem na cestě (k tobě).  
I'm really hungry.,Mám velký hlad. 
important  ,důležitý 
in  ,v 
in front of  ,před (místně) 
include  ,zahrnovat 
inside  ,uvnitř 
intelligent  ,inteligentní 
interesting  ,zajímavý 
interview  ,pohovor 
into  ,do (místně) 
into  ,do (místně) 
Irish  ,irský 
island  ,ostrov 
Italian  ,italský 
Italy  ,Itálie 
jacket  ,bunda 
jam  ,džem 
January  ,leden 
Japan  ,Japonsko 
jazz  ,džez 
job  ,"zaměstnání, práce "
join  ,připojit se 
juggle  ,žonglovat 
juice  ,"ovocná šťáva, džus "
July  ,červenec 
June  ,červen 
kangaroo  ,klokan 
kill  ,zabít 
kilo  ,kilo 
kilometre  ,kilometr 
kitchen  ,kuchyně 
knock  ,klepat (na dveře) 
know  ,"znát, vědět "
lady  ,"žena, paní (zdvořile)"
lamb  ,jehněčí 
lamp  ,"svítidlo, lampa "
land  ,přistát 
language  ,"jazyk, řeč "
laptop  ,laptop 
large  ,"velký, rozsáhlý "
lasagne  ,lasagne  
last month / night / week / weekend,minulý (minulou) měsíc / noc / týden / víkend
late  ,pozdě 
later  ,později 
Latin  ,latina 
laugh  ,smát se (nahlas) 
lead  ,vodítko (na psa) 
leader  ,vůdce 
learn  ,učit se 
leave  ,"opustit, odejít "
leg  ,noha 
lemonade  ,limonáda (citronová) 
less  ,méně 
lesson  ,"lekce, vyučovací hodina"
Let's go together.,Pojďme společně. 
letter  ,dopis 
letterbox  ,schránka na dopisy
lettuce  ,hlávkový salát 
library  ,knihovna 
lie  ,ležet 
life  ,život 
like  ,"mít rád, mít v oblibě "
listen  ,poslouchat 
little  ,malý 
live  ,žít 
live  ,bydlet  
living room  ,obývací pokoj 
lizard  ,ještěrka 
local  ,místní 
long  ,dlouhý 
longer  ,delší 
look after  ,starat se o 
look at  ,podívat se na 
lose  ,ztratit 
loudspeaker system  ,reproduktorový systém 
love  ,milovat 
lovely  ,"příjemný, milý "
luck  ,náhoda 
lucky  ,šťastný 
lunch  ,oběd 
lunchtime  ,čas oběda 
luxury  ,luxusní 
magazine  ,časopis 
magic  ,"kouzelný, magický "
mail  ,poslat poštou 
main course  ,hlavní chod (jídla) 
make  ,udělat 
man  ,muž 
March  ,březen 
marriage  ,manželství 
marry  ,"oženit se, vdát se "
match  ,"zápas, utkání (sportovní) "
Maths  ,matematika 
May  ,květen 
mayonnaise  ,majonéza 
meal  ,jídlo 
mean  ,znamenat 
meat  ,maso 
medicine  ,lék 
medium-length  ,středně dlouhý 
member  ,člen 
membership form  ,dotazník člena 
men  ,muži 
menu  ,jídelní lístek 
message  ,"zpráva, vzkaz "
milk  ,mléko 
milkshake  ,mléčný koktejl
minute  ,minuta 
miss  ,stýskat se 
mobile phone  ,mobilní telefon 
model  ,"modelka, model "
modern  ,moderní 
mom  ,máma 
Monday  ,pondělí 
money  ,peníze 
monster  ,"obluda, netvor "
month  ,měsíc (část roku)
moon  ,Měsíc (na obloze) 
mother  ,matka 
mousse  ,cukrářská pěna 
mouth  ,ústa 
mum  ,máma 
museum  ,muzeum 
mushroom  ,houba 
music  ,hudba 
mustard  ,hořčice 
mysterious  ,tajemný 
mystery  ,"tajemství, záhada "
"9th (ninth)
",devátý
name  ,jméno 
national  ,"státní, národní"
natural  ,"přírodní, přirozený "
near  ,blízko 
need  ,potřebovat 
netball  ,"přehazovaná, netbal "
never  ,nikdy 
new  ,nový 
newsagent  ,novinový stánek 
newspaper  ,noviny 
next to  ,vedle
nice  ,pěkný 
night  ,noc 
No idea.,Nevím. 
No problem.,Bez problému. 
noise  ,"hluk, šum  "
noisier  ,hlučnější 
noisy  ,hlučný 
non-stop  ,nepřetržitý 
normally  ,"obvykle, normálně "
normally  ,"obyčejně, normálně "
north  ,sever 
Norway  ,Norsko 
nose  ,nos 
notebook  ,notebook  
Nothing much.,Nic moc. 
November  ,listopad 
nurse  ,zdravotní sestra
October  ,říjen 
of  ,předložka 2. pádu
Of course,samozřejmě 
often  ,často 
"Oh, brilliant!",Paráda! 
old  ,starý 
older  ,starší 
old-fashioned  ,staromódní 
Olympic Games  ,olympijské hry 
on  ,na 
on board (the ship)  ,na palubě (lodi) 
"once a day / week / month / year
",jednou za den / týden / měsíc / rok 
onion  ,cibule 
onto  ,na 
open  ,otevřít 
opinion  ,mínění 
opposite  ,"opak, opačný "
orange  ,oranžový 
orange  ,pomeranč  
order  ,přikázat 
organisation  ,organizace 
organise  ,organizovat 
organised  ,organizovaný 
out  ,ven 
outside  ,"venku, vně "
outside pool  ,venkovní bazén 
own,vlastní 
owner  ,vlastník 
oxygen  ,kyslík 
page  ,"stránka, list (knihy) "
palm tree,palma
parade  ,přehlídka 
paradise  ,ráj 
parcel  ,balíček 
parent  ,rodič 
park  ,park 
park  ,parkovat  
part time  ,částečný (úvazek) 
party  ,"oslava, párty "
party  ,oslavovat  
pâté  ,paštika 
pay  ,platit 
PE (physical education)  ,tělesná výchova 
pen  ,pero 
pencil  ,tužka 
people  ,lidé 
perhaps  ,"snad, možná "
person  ,osoba 
personal stereo  ,osobní přehrávač  
phone  ,telefon 
photograph  ,fotografie 
piano  ,klavír 
pie  ,koláč 
piece of paper  ,list papíru 
pink  ,růžový 
pizza  ,pizza 
plane  ,letadlo 
play  ,hrát 
play sports,sportovat 
play the piano,hrát na klavír 
player  ,hráč 
pocket  ,kapsa 
Poland  ,Polsko 
police  ,policie 
Polish  ,polský 
pop group  ,hudební skupina 
popular  ,populární 
population  ,počet obyvatel 
Portugal  ,Portugalsko 
post office  ,pošta (úřad) 
potato  ,brambor 
practical  ,"praktický, užitečný  "
practice  ,praxe 
practise English,procvičovat angličtinu 
practise the piano,cvičit hru na klavír 
present  ,dárek  
president  ,prezident 
pretty  ,hezký 
prison  ,vězení 
probably  ,pravděpodobně 
project  ,projekt 
public  ,veřejný 
pull  ,tahat 
pumpkin  ,dýně 
purple  ,fialový 
push  ,tlačit 
put  ,položit 
quickly  ,rychle 
quiet  ,tichý 
quieter  ,tišší 
quietly  ,"tiše, potichu "
quite  ,"docela, trochu "
rabbit  ,králík 
race  ,závod (soutěž) 
radio  ,rádio 
railway station  ,železniční stanice 
rain  ,pršet 
rap  ,rap 
rattlesnake  ,chřestýš 
read  ,číst 
ready  ,připraven 
real  ,"skutečný, reálný "
Really?,Opravdu? 
recording studio  ,nahrávací studio 
red  ,červený 
remember  ,"zapamatovat si, vzpomenout si "
repeat  ,opakovat 
restaurant  ,restaurace 
return  ,vrátit se 
rice  ,rýže 
rich  ,bohatý 
riding  ,jezdectví 
right  ,"správný, pravdivý "
river boat  ,říční člun 
road  ,silnice 
roast lamb  ,pečené jehněčí 
rollerblading  ,jízda na kolečkových bruslích 
roof  ,střecha 
room  ,místnost 
rugby  ,ragby 
run  ,"běžet, utíkat "
running  ,běh 
Russia  ,Rusko 
2nd (second),druhý 
"6th (sixth)
",šestý 
"7th (seventh)
",sedmý 
sad  ,smutný 
safe  ,bezpečný 
safer  ,bezpečnější 
salad  ,salát 
salt  ,sůl 
same,stejný 
sandwich  ,sendvič 
Saturday  ,sobota 
save  ,zachránit 
say  ,říci 
scared  ,vyděšený 
scarf  ,šála 
school  ,škola 
school programme  ,školní program 
school subject  ,vyučovací předmět 
Science  ,věda 
sea  ,moře 
seaside  ,pobřeží 
seat  ,sedadlo 
second  ,vteřina 
see  ,vidět 
See you (soon). ,Ahoj (brzy se uvidíme). 
seem  ,"zdát se, vypadat "
selection  ,výběr 
sell  ,prodávat 
send  ,poslat 
separate  ,rozdělit 
September  ,září 
shampoo  ,šampon 
She's fine.,Má se dobře. 
ship  ,loď 
shoe  ,bota 
shoot  ,střelit 
shop  ,obchod (prodejna) 
shop assistant  ,prodavač 
short  ,krátký 
shout  ,křičet 
show  ,"dokázat, osvědčit "
shower  ,sprcha 
sight  ,zrak 
sign  ,podepsat 
signal  ,"signál, znamení "
silent  ,tichý 
similar  ,podobný 
simple  ,"jednoduchý, snadný "
sing  ,zpívat 
singer  ,"zpěvák, zpěvačka "
sister  ,sestra 
sit  ,sedět 
ski  ,lyžovat 
skirt  ,sukně 
sleep  ,spát 
slow  ,pomalý 
slowly  ,pomalu 
small  ,malý 
smart,"upravený, čistý "
smile  ,úsměv 
snail  ,hlemýžď 
snake  ,had 
snowboard  ,snowboardovat 
soap opera  ,"seriál, telenovela "
soccer  ,kopaná 
sofa  ,pohovka 
soldier  ,voják 
sometimes  ,někdy 
son  ,syn 
song  ,píseň 
"Sorry, I don't know.","Je mi líto, ale nevím (neznám). "
sound  ,vypadat 
sound system  ,zvukový systém 
soup  ,polévka 
south  ,jih 
Spain  ,Španělsko 
Spanish  ,španělský 
speak  ,mluvit 
speaker  ,reproduktor 
special  ,"zvláštní, speciální "
spend  ,utratit (peníze) 
spider  ,pavouk 
sport  ,sport 
sports facilities  ,sportoviště 
sports hall  ,sportovní hala 
sports programme  ,sportovní program 
spring  ,jaro 
stamp  ,známka (dopisní) 
star  ,"hvězda, slavný člověk"
start  ,začít 
starter  ,předkrm 
stay  ,zůstat 
steak  ,"plátek masa, stejk "
steal  ,ukrást 
steel band  ,steel band 
stereo  ,hudební souprava 
stone  ,kámen 
stop  ,"zastavit, přestat "
storm  ,bouře 
story  ,"povídka, vyprávění "
straight  ,"přímý, rovný "
strange  ,"divný, nezvyklý "
strawberry  ,jahoda 
street market  ,tržiště 
street stall  ,stánek 
student  ,student 
study  ,studovat 
stupid  ,hloupý 
subtropical  ,subtropický 
sudden  ,náhlý 
suddenly  ,náhle 
sugar  ,cukr 
summer  ,léto 
sun  ,slunce 
Sunday  ,neděle 
sunny  ,slunečný 
supermarket  ,supermarket 
support  ,"fandit, mít v oblibě, podporovat"
surname  ,příjmení 
survey  ,"průzkum, šetření "
sweater  ,svetr 
Swedish  ,švédský 
sweet  ,"sladkost, cukrovinka "
swim  ,plavat 
swimming  ,plavání 
swimming pool  ,bazén 
Switzerland  ,Švýcarsko 
"10th (tenth)
",desátý 
"12th (twelfth)
",dvanáctý 
"13th (thirteenth)
",třináctý 
"20th (twentieth)
",dvacátý 
"30th (thirtieth)
",třicátý 
"3rd (third) 
",třetí 
table  ,stůl 
take  ,"vzít, brát "
take a picture  ,vyfotografovat 
take part  ,zúčastnit se 
talk  ,říkat (někomu) 
tall  ,vysoký 
taxi  ,taxi  
tea  ,čaj 
teacher  ,učitel 
team  ,"tým, družstvo "
teenager  ,teenager 
"teeth (plural of tooth)  
",zuby 
tell  ,povědět (někomu informaci)
temperature  ,teplota 
tennis  ,tenis 
terrible  ,strašný 
test  ,"test, zkouška "
text  ,text 
Thanks.,Díky. 
Thanksgiving   ,Den díkůvzdání 
That's correct.,Správně. 
the news  ,zprávy (televizní program) 
think  ,myslet 
think  ,přemýšlet  
through  ,skrz 
thumb  ,palec 
Thursday  ,čtvrtek 
to be born  ,narodit se 
to be called  ,jmenovat se 
toast  ,toast 
toilet  ,záchod 
tomato  ,rajče 
tomorrow  ,"zítra, zítřek "
tonight  ,dnes večer (v noci)
tour  ,cesta (cestování) 
tourist  ,turista 
town  ,město 
traditional  ,tradiční 
trainers  ,sportovní obuv 
transport  ,doprava 
travel  ,cestovat 
travel card  ,průkaz na zlevněné jízdné
treat  ,"překvapení, dárek"
triathlon  ,triatlon 
trick  ,šprým 
trip  ,výlet 
trousers  ,kalhoty 
TRUE,pravdivý 
try  ,"zkusit, pokusit se "
try on  ,vyzkoušet si 
Tuesday  ,úterý 
Turkey  ,Turecko 
turkey  ,krocan 
Turkish  ,turecký 
turn  ,zahnout 
TV  ,televize 
"twice a day / week / month / year
",dvakrát za den / týden / měsíc / rok 
typical  ,typický 
UFO  ,UFO 
uncle  ,strýc 
under  ,pod 
underground line  ,podzemní dráha 
unhappy  ,nešťastný 
university  ,univerzita 
use  ,použít 
usually  ,obvykle 
vegetable  ,zelenina 
verb  ,sloveso 
video  ,videokazeta 
video store  ,videopůjčovna 
villa  ,vila 
village  ,vesnice 
vinegar  ,ocet 
violin  ,housle 
visit  ,navštívit 
volleyball  ,"odbíjená, volejbal "
vote  ,hlasovat 
wait  ,"čekat, počkat "
Wait a minute.,Počkej chvilku. 
waiter  ,číšník 
walk  ,jít pěšky 
wallet  ,"peněženka, náprsní taška "
want  ,chtít 
war  ,válka 
warm  ,teplý 
washing machine  ,pračka 
watch  ,"sledovat, dívat se na "
water  ,voda 
wavy  ,vlnitý 
wear  ,nosit na sobě 
weather  ,počasí 
Wednesday  ,středa 
weekend  ,víkend 
well  ,dobře 
well  ,zdravý  
wet  ,mokrý 
what,jaký 
What about you?,A co ty? 
What are you up to?,Co děláš? 
What's the answer?,Co odpovíš?
What's the matter?,Co se ti stalo? 
What's wrong?,Co se stalo? Co se děje?
wheelchair  ,kolečkové křeslo 
where,kde 
white  ,bílý 
who,kdo 
why,proč 
wife  ,manželka 
win  ,vyhrát 
window  ,okno 
winner  ,vítěz 
winter  ,zima (roční období) 
wish  ,přát si 
witch  ,čarodějnice 
with  ,"s,se"
wizard  ,"kouzelník, čaroděj(ka)"
woman  ,žena 
women  ,ženy 
wonderful  ,skvělý  
work  ,práce 
work  ,pracovat
world  ,svět 
worm  ,červ 
worried  ,ustaraný 
worse  ,horší 
write  ,"psát, napsat "
writer  ,spisovatel 
wrong  ,špatný 
year  ,rok 
yellow  ,žlutý 
"Yes, great.",No jasně. 
yesterday  ,včera 
"yesterday afternoon / evening / morning
",včera odpoledne / večer / ráno 
You must be joking!,Děláš si srandu! 
young  ,mladý 
younger  ,mladší 
You're welcome.,Není zač. 
